uid,condition,polarizing_phases_count,polarizing_phases_mean_duration,polarizing_phases_mean_delta,polarizing_phases_max_delta,polarizing_phases_mean_slope,stalling_phases_count,stalling_phases_mean_duration,stalling_phases_mean_delta,stalling_phases_max_delta,stalling_phases_mean_slope,min_to_polar_ramp_on_mean,apolar_polarity_angle_diff_mean,apolar_polarity_angle_diff_std,polarity_magnitude_mean,polarity_magnitude_std,polarity_magnitude_max,polarity_magnitude_min,polarity_angle_diff_mean,polarity_angle_diff_std,polarity_angle_diff_max,polarity_angle_diff_min,Q1_norm_mean,Q1_norm_std,Q1_norm_max,Q1_norm_min
8bd3649f,cremig,4,3.5,3.5,5,0.012361302231992765,3,3.6666666666666665,3.6666666666666665,4,-0.0005568475577072608,1.0,-0.10410482027447346,16.186564878808007,5.945317254446425,3.2778213326219565,28.30947382448843,1.0744992355798848,-4.132045841402102,29.92363792324117,51.74483828003219,-179.88536554423652,0.29497137665748596,0.02787224017083645,0.4296862483024597,0.24260669946670532
8bd3649f,cremig,5,3.8,3.8,5,0.008711775821035703,3,3.6666666666666665,3.6666666666666665,4,-0.0005568475577072608,2.0,0.09469812085693366,16.605009581061182,5.637012338272166,1.9985579198946233,9.195623743497277,1.0744992355798848,0.6679541585978974,9.713029632364526,51.74483828003219,-22.614239261217207,0.29333028197288513,0.02309739775955677,0.34318333864212036,0.24260669946670532
8abf9f32,cremig,4,3.75,3.75,5,0.021234777069204198,2,12.0,12.0,15,0.0011536142497731788,2.0,-1.5810534353310444,9.034812822517921,2.1852626726005075,1.1082976216360314,5.278627781476259,0.5497771270192947,-1.3755563942302074,9.414265424813347,25.743758915981854,-37.15322931892177,0.21603976863424662,0.09046738632213414,0.3484060369443177,3.958643322072623e-05
