,cell_id,timepoint,condition,polarity_magnitude,polarity_angle_diff,Q1_sum,Q2_sum,Q3_sum,Q4_sum,Total_sum,Center_sum,Q1_norm,Q1_norm_diff,time,Q1_norm_smooth,Q1_norm_smooth_diff,polarity_magnitude_smooth,polarity_magnitude_smooth_diff,polarizing,stalling,local_max,local_min,polar
0,8abf9f32,0,cremig,4.82293686649316,,234303483,193942295,195989407,204894120,829129305,557226340,0.2825897982221241,,0.0,0.2926594952430682,,4.814721072205634,,False,False,False,False,False
1,8abf9f32,1,cremig,5.278627781476259,5.823816059852173,235580643,193090284,188877730,199304253,816852910,546940002,0.2884003228928939,0.005810524670769812,1.0,0.2858663147110728,-0.006793180531995402,5.278334577699517,0.4636135054938828,False,False,False,False,False
2,8abf9f32,2,cremig,4.903581265177354,-2.903768808342716,224749496,191461201,193617357,197465364,807293418,542337743,0.2783987717338233,-0.010001551159070587,2.0,0.2504724960528567,-0.035393818658216114,4.990254423454661,-0.2880801542448559,False,False,False,False,False
3,8abf9f32,3,cremig,4.497857695159458,-3.6653246242866984,219834288,190422397,197852297,187869949,795978931,536879343,0.2761810387667158,-0.002217732967107533,3.0,0.21212082631694507,-0.03835166973591164,4.361958504690995,-0.6282959187636656,False,False,False,False,False
4,8abf9f32,4,cremig,3.703895571347266,-1.0597678973004,30526,30526,590275983,180877312,771122769,524444235,3.958643322072623e-05,-0.2761414523334951,4.0,0.18798458126323395,-0.02413624505371112,3.699292991351367,-0.6626655133396282,False,False,False,False,False
5,8abf9f32,5,cremig,3.094886313798143,-8.00353648624382,195927682,183858672,186482050,186455361,752723765,515679501,0.26029161175746857,0.26025202532424785,5.0,0.18676752536300148,-0.0012170559002324666,3.20247232810174,-0.4968206632496268,False,False,False,True,False
6,8abf9f32,6,cremig,2.983359542680152,-6.863863684695811,192108802,180280864,183919715,186389779,742699160,510993816,0.25866301235617395,-0.001628599401294617,6.0,0.22210735565696266,0.03533983029396118,3.0105128486817154,-0.19195947942002478,False,False,False,False,False
7,8abf9f32,7,cremig,2.9804527792527984,0.5230359807631313,189231613,178522149,180667711,182458763,730880236,499833480,0.2589091942554594,0.0002461818992854359,7.0,0.26421344950532777,0.04210609384836511,2.999986744671687,-0.010526104010028625,False,False,False,False,False
8,8abf9f32,8,cremig,3.2164227271038857,-0.4911377630997226,186031640,176528531,177681690,176737899,716979760,488869008,0.2594656786406355,0.000556484385176137,8.0,0.28668237122370377,0.022468921718376,3.0823716499498075,0.0823849052781207,False,False,True,False,False
9,8abf9f32,9,cremig,3.0917905320984342,-0.10183505347961685,179928199,173402645,173996976,172032555,699360375,476758118,0.2572753696547363,-0.0021903089858992253,9.0,0.24633334115861366,-0.04034903006509011,3.0617784383818485,-0.020593211567959013,False,True,False,True,False
10,8abf9f32,10,cremig,2.843258009511225,-4.166590085489227,175180683,169803987,170487819,170124993,685597482,466673348,0.25551535354092797,-0.001760016113808327,10.0,0.25569933948138257,0.00936599832276891,2.865989287701394,-0.19578915068045433,False,True,True,False,False
11,8abf9f32,11,cremig,2.784375443051571,-7.131036897102146,172787667,168952499,169179780,166630612,677550558,461234623,0.25501811630121923,-0.0004972372397087366,11.0,0.25429607003131177,-0.0014032694500707987,2.8089339086211664,-0.05705537908022773,False,True,False,False,False
12,8abf9f32,12,cremig,2.8068137309965167,-4.722676846578481,166899226,166936527,165033804,162491922,661361479,451004801,0.2523570411938068,-0.002661075107412425,12.0,0.2540598995302942,-0.0002361705010175963,2.893783040301946,0.08484913168077979,True,True,False,True,False
13,8abf9f32,13,cremig,3.051990834444451,1.055059356292139,165919632,161091869,159805454,158229421,645046376,439428843,0.2572212451279627,0.004864203934155875,13.0,0.25620824043309304,0.002148340902798862,3.15532705910518,0.26154401880323386,True,True,False,False,False
14,8abf9f32,14,cremig,3.6759225759453513,19.35902877557387,163993627,160403036,158647700,151656449,634700812,429366256,0.25837941893163985,0.001158173803677165,14.0,0.2588637320456491,0.0026554916125560712,3.384007829138646,0.2286807700334661,True,True,False,False,False
15,8abf9f32,15,cremig,3.3707545770249165,-6.922117977130785,163939492,155667497,154183386,152104830,625895205,424985623,0.2619280203624503,0.0035486014308104274,15.0,0.26160566803244023,0.002741935986791122,3.448292717826685,0.06428488868803894,True,True,False,False,False
16,8abf9f32,16,cremig,3.4032655490710346,-1.1548765310233933,164904360,153606476,151194648,152427664,622133148,422399806,0.2650628093521871,0.0031347889897368475,16.0,0.26428911626438056,0.002683448231940333,3.4328262454326035,-0.01546647239408161,True,True,False,False,False
17,8abf9f32,17,cremig,3.1892803234775675,1.046312937550234,160833542,150726789,147940821,151558134,611059286,414947778,0.2632044806205596,-0.001858328731627501,17.0,0.264770721383881,0.00048160511950046114,3.2854733714597124,-0.1473528739728911,False,True,True,False,False
18,8abf9f32,18,cremig,3.1767931106524796,-0.9041398407649593,161389994,146729667,145348801,153952706,607421168,412142120,0.26569701963366543,0.00249253901310581,18.0,0.2645449613630876,-0.00022576002079344182,3.098948838293308,-0.18652453316640427,False,True,False,False,False
19,8abf9f32,19,cremig,3.2074918141509414,-0.4356484549038074,158417577,144031369,144234893,151493628,598177467,406637167,0.26483374205735505,-0.0008632775763103839,19.0,0.2524402928396035,-0.012104668523484075,3.088148534895016,-0.010800303398291966,False,False,False,True,False
20,8abf9f32,20,cremig,2.8673487652839214,2.677083200858458,154357969,142527473,142919922,150208990,590014354,400530372,0.2616173114323927,-0.003216430624962352,20.0,0.29181572976530773,0.03937543692570422,3.0442658147150343,-0.04388272017998185,False,False,True,False,False
21,8abf9f32,21,cremig,3.081207631156587,-4.652410780459471,155086750,139824188,141463580,148290707,584665225,398869464,0.2652573530433591,0.003640041610966427,21.0,0.2716552131670817,-0.02016051659822604,3.119564361208863,0.0752985464938285,False,False,False,False,False
22,8abf9f32,22,cremig,3.33350914821498,-3.842481181939706,154851142,137807444,139502126,146050664,578211376,392820522,0.2678106111838242,0.0025532581404650867,22.0,0.22988011225954744,-0.04177510090753425,3.1764573399412246,0.056892978732361765,False,False,False,False,False
23,8abf9f32,23,cremig,3.1292408931531503,-4.603487895792803,151270335,133259798,134674599,142194354,561399086,380868725,0.26945240698165296,0.001641795797828749,23.0,0.1939392473530039,-0.035940864906543524,3.212054512758909,0.035597172817684264,False,False,False,False,False
24,8abf9f32,24,cremig,3.2399459122076735,7.057833834428437,929840,988909,450933289,100355940,553207978,374884949,0.0016808145163806731,-0.26777159246527227,24.0,0.17997272271701997,-0.01396652463598394,3.1759801563164975,-0.036074356442411304,True,False,False,True,False
25,8abf9f32,25,cremig,2.8974020914178364,-5.436719396122421,146209203,131758075,132551847,141027456,551546581,372676716,0.2650894920514429,0.2634086775350622,25.0,0.19154799041771647,0.011575267700696501,2.9695837620556227,-0.20639639426087486,True,False,False,False,False
26,8abf9f32,26,cremig,2.787934814479616,1.6063301668327725,141381543,130184713,132036436,138361081,541963773,366354954,0.2608689916991924,-0.004220500352250467,26.0,0.2229892228740268,0.031441232456310336,2.7388080476841994,-0.2307757143714233,True,False,False,False,False
27,8abf9f32,27,cremig,2.576196496518553,-0.9377279561702628,136056425,129217319,131009212,134310708,530593664,357397031,0.2564230111123227,-0.0044459805868697355,27.0,0.25937732649884754,0.03638810362482073,2.5421596055589375,-0.1966484421252619,True,False,False,False,False
28,8abf9f32,28,cremig,2.366404524079112,-6.811305937608751,128872546,133928119,133963348,129564838,526328851,355018244,0.24485176093833397,-0.011571250173988717,28.0,0.26556400199152813,0.006186675492680593,2.4334815723575955,-0.10867803320134195,False,False,True,False,False
29,8abf9f32,29,cremig,2.39208401928758,-2.2066149524707965,125746873,133612037,133661981,128144616,521165507,351630875,0.24128011411161945,-0.003571646826714514,29.0,0.24823758613852892,-0.01732641585299921,2.4674152357989882,0.0339336634413927,False,False,False,True,False
30,8abf9f32,30,cremig,2.535332638004275,-5.518549195242951,123858010,129017468,127730578,123851648,504457704,340482865,0.24552704620802066,0.004246932096401201,30.0,0.26371362798859993,0.01547604185007101,2.475025010694156,0.007609774895167565,False,False,True,False,False
31,8abf9f32,31,cremig,2.606139411097118,-4.681932977956671,120525119,127499330,124984416,118090368,491099233,331340973,0.24541907398987936,-0.00010797221814129454,31.0,0.230345668288177,-0.03336795970042292,2.4753822243753585,0.0003572136812026727,False,False,False,False,False
32,8abf9f32,32,cremig,2.3412343910392304,-6.094746005567966,115135804,126547511,122435138,111603459,475721912,322635270,0.2420233356835579,-0.0033957383063214497,32.0,0.16380534246129155,-0.06654032582688546,2.4311819036548887,-0.044200320720469755,False,False,False,False,False
33,8abf9f32,33,cremig,2.2133461748204324,15.788258706564527,684425,1069558,436525519,24051244,462330746,314503280,0.001480379589550378,-0.24054295609400753,33.0,0.08188366829314936,-0.0819216741681422,2.2823705494141118,-0.14881135424077696,False,False,False,False,False
34,8abf9f32,34,cremig,2.2367136171558544,1.3528932265019795,735306,935989,427470644,24144280,453286219,308441195,0.0016221671190934663,0.0001417875295430884,34.0,0.014309424567557504,-0.06757424372559186,2.1591362718171263,-0.12323427759698546,False,False,False,False,False
35,8abf9f32,35,cremig,2.1577435717399767,-2.2214448479095315,633953,779383,421581655,17664511,440659502,300716871,0.0014386459321147238,-0.00018352118697874246,35.0,-0.01001037590456175,-0.024319800472119256,2.1214172518182406,-0.03771901999888572,False,False,False,False,False
36,8abf9f32,36,cremig,2.0346022867626075,-3.7645854340617646,580633,582216,417056527,7314495,425533871,290652868,0.0013644812776842387,-7.416465443048511e-05,36.0,-0.028211853824087335,-0.018201477919525585,2.1693346818007133,0.047917429982472726,True,False,False,True,False
37,8abf9f32,37,cremig,2.260639921687819,-0.8336245632807702,2209826,614517,401909342,2933212,407666897,277191348,0.005420665784398972,0.0040561845067147335,37.0,-0.00585898812645028,0.022352865697637055,2.1991639769206452,0.02982929511993193,True,False,False,False,False
38,8abf9f32,38,cremig,2.2176871057653207,4.345617665960911,669902,503261,384627568,8329361,394130092,267956375,0.001699697672412184,-0.0037209681119867877,38.0,0.01904162904954721,0.02490061717599749,2.223228451390371,0.024064474469725816,True,False,False,False,False
39,8abf9f32,39,cremig,2.157478475063915,-1.1145987283558125,5254064,423897,374762566,7504177,387944704,264440899,0.01354333219612659,0.011843634523714407,39.0,0.08676751360065364,0.06772588455110642,2.079003202150422,-0.14422524923994917,True,False,False,False,False
40,8abf9f32,40,cremig,1.9360904650921709,-4.52750345543121,92087808,98088572,94778698,91903646,376858724,256954129,0.2443563121547904,0.23081297995866382,40.0,0.15589933863290728,0.06913182503225364,1.9049514341420783,-0.17405176800834354,True,False,False,False,False
41,8abf9f32,41,cremig,1.750208029100004,-17.17932855681673,89569970,99977116,99426699,86027613,375001398,250417670,0.23885236289172448,-0.00550394926306591,41.0,0.24457447677990632,0.08867513814699904,1.803102931981918,-0.10184850216016028,True,False,False,False,False
42,8abf9f32,42,cremig,1.6070860192306644,-7.963686706767413,88483030,98076059,94504803,83977083,365040975,246983627,0.24239204927611208,0.0035396863843875914,42.0,0.2900885845749521,0.045514107795045805,1.868367851398581,0.06526491941666301,False,False,True,False,False
43,8abf9f32,43,cremig,2.246124738861241,25.743758915981854,93831709,103466656,101303284,97519085,396120734,265234933,0.23687654027218882,-0.005515509003923252,43.0,0.22468982967920975,-0.06539875489574237,1.9964887208764788,0.1281208694778977,False,False,False,False,False
44,8abf9f32,44,cremig,2.1443821203528826,1.4134877770343406,91720708,101991883,99255057,96779151,389746799,260265507,0.23533408929934535,-0.0015424509728434732,44.0,0.12900251712506242,-0.09568731255414734,2.0725560978052417,0.07606737692876298,False,False,False,False,False
45,8abf9f32,45,cremig,2.0131678540922873,2.232609508280086,1151441,706522,373339487,13019476,388216926,256515371,0.002965973204372856,-0.2323681160949725,45.0,0.09268272107278552,-0.03631979605227689,2.0672708612692685,-0.005285236535973237,False,False,False,False,False
46,8abf9f32,46,cremig,1.8429577619003596,9.982238592626162,1166021,575910,337879665,43777588,383399184,253463560,0.0030412714702074068,7.529826583455067e-05,46.0,0.09175550090807659,-0.0009272201647089334,1.9270837753520675,-0.14018708591720097,False,False,False,True,False
47,8abf9f32,47,cremig,1.7262324424468318,-6.521270168824641,88220810,98666974,96780494,94608970,378277248,248960095,0.23321733058605734,0.23017605911584993,47.0,0.13719610540045452,0.045440604492377926,1.726647730047227,-0.2004360453048406,False,False,False,False,False
48,8abf9f32,48,cremig,1.7754555284095075,-5.637020010118244,87240967,97162208,94499944,92338024,371241143,243991693,0.2349981101097946,0.0017807795237372581,48.0,0.2072623192203515,0.07006621381989697,1.6575918724355332,-0.06905585761169375,False,False,False,False,False
49,8abf9f32,49,cremig,1.517308144307912,-0.9128662350309081,85534826,95096429,91888879,91451811,363971945,240539358,0.23500389844607392,5.788336279316519e-06,49.0,0.26424212192487073,0.056979802704519245,1.6162014137535978,-0.04139045868193536,False,False,True,False,False
50,8abf9f32,50,cremig,1.5648885838051092,2.0979835122314356,84298268,93750091,90257553,90826362,359132274,235917204,0.23472763130166352,-0.000276267144410397,50.0,0.24956050571866664,-0.01468161620620409,1.5656352457094997,-0.05056616804409808,False,False,False,False,False
51,8abf9f32,51,cremig,1.5626181449055652,-3.359887430310186,84904719,94475267,90482767,89216028,359078781,236724105,0.23645150728079362,0.0017238759791300962,51.0,0.22791666237139113,-0.02164384334727551,1.5508183814101044,-0.014816864299395327,False,True,False,True,False
52,8abf9f32,52,cremig,1.522281702447646,8.867423463468224,85020989,91204308,89549410,90006695,355781402,235042099,0.238969739626806,0.0025182323460123945,52.0,0.23928179506972083,0.0113651326983297,1.4898139384857472,-0.06100444292435725,False,True,False,False,False
53,8abf9f32,53,cremig,1.3249226819913746,6.074357052405863,84365742,88149759,87790034,90229028,350534563,232827353,0.24067738507144015,0.0017076454446341427,53.0,0.23935791897817607,7.612390845523898e-05,1.3790882635847275,-0.1107256749010197,False,True,True,False,False
54,8abf9f32,54,cremig,1.3039224310120143,5.682931210015846,83463721,86033357,86449008,89013332,344959418,229268855,0.24195228958787263,0.0012749045164324735,54.0,0.23860729853519405,-0.0007506204429820196,1.1710106653045633,-0.20807759828016414,False,True,False,False,False
55,8abf9f32,55,cremig,0.9059557177742458,-13.997209222064749,78853647,87786509,86089817,85781970,338511943,225058842,0.23294199401407825,-0.009010295573794375,55.0,0.23772246192563912,-0.0008848366095549343,1.0098767482052062,-0.1611339170993571,True,True,False,True,False
56,8abf9f32,56,cremig,0.9400785591705144,-26.510346431304864,78857420,87875343,84218622,81386789,332338174,221250584,0.23728065617884753,0.004338662164769275,56.0,0.23805347577358882,0.00033101384794970157,0.9581237591506799,-0.0517529890545263,True,True,False,False,False
57,8abf9f32,57,cremig,1.0094347023085533,-37.15322931892177,78607298,80996554,82813548,82328132,324745532,214997138,0.24205813553733513,0.004777479358487602,57.0,0.23962055958646225,0.0015670838128734321,1.036814441660158,0.07869068250947797,True,True,False,False,False
58,8abf9f32,58,cremig,1.2056052107347086,1.4061261716537514,77913089,80936962,82686190,80763760,322300001,213829682,0.2417408897246637,-0.00031724581267142393,58.0,0.24179147206130094,0.002170912474838693,1.166569973457253,0.1297555317970951,True,True,False,False,False
59,8abf9f32,59,cremig,1.3076025967131297,1.8642505922706831,77586590,81026338,82233862,80192746,321039536,213452738,0.2416730069034239,-6.788282123981748e-05,59.0,0.24213472126814928,0.00034324920684833393,1.2848574964640587,0.11828752300680567,False,True,True,False,False
60,8abf9f32,60,cremig,1.2563724141424577,3.9200224112258044,75611294,79966587,81275956,79823644,316677481,210237552,0.23876435344008562,-0.0029086534633382677,60.0,0.23808377307646986,-0.004050948191679421,1.2281555382848248,-0.05670195817923385,False,True,False,False,False
61,8abf9f32,61,cremig,1.0790506235996686,9.263686754678071,73507382,80881637,80285231,77561248,312235498,207396332,0.23542288583727913,-0.003341467602806486,61.0,0.23478706025710885,-0.003296712819361003,1.0970122768432595,-0.1311432614415653,False,True,False,False,False
62,8abf9f32,62,cremig,0.9182976857373928,8.244106284351478,70909661,82327573,79724685,74328202,307290121,203096196,0.23075802362029074,-0.004664862216988391,62.0,0.23280560989327698,-0.001981450363831877,0.9355322539736889,-0.16148002286957064,False,True,False,False,False
63,8abf9f32,63,cremig,0.7903777549058917,-4.108641240002695,69688121,79498729,78435231,73004200,300626281,198725250,0.23180980973516419,0.001051786114873443,63.0,0.2321341018658059,-0.0006715080274710683,0.8385056770079119,-0.09702657696577699,False,True,False,True,False
64,8abf9f32,64,cremig,0.8288013930437083,-1.693207808178188,69901681,76959435,76630036,72832037,296323189,196373189,0.23589676270661356,0.00408695297144937,64.0,0.23365071755103817,0.0015166156852322588,0.7778520844261896,-0.060653592581722315,False,True,False,False,False
65,8abf9f32,65,cremig,0.8153016654318502,1.8245588239486727,68752467,76302535,75727338,71649887,292432227,193441268,0.2351056438112753,-0.0007911188953382553,65.0,0.24074309411939676,0.007092376568358594,0.7768329340312086,-0.0010191503949810166,False,True,True,False,False
66,8abf9f32,66,cremig,0.833921279404872,-4.272710819947476,68632859,74075571,74242727,71407613,288358770,190489334,0.23801203965462886,0.0029063958433535597,66.0,0.23217238952379662,-0.008570704595600137,0.8697271686479412,0.09289423461673263,False,True,False,False,False
67,8abf9f32,67,cremig,0.8568246710322996,-14.814212879481072,68433445,69654934,72656690,73917165,284662234,188144654,0.24040226214201635,0.002390222487387489,67.0,0.22516890658681799,-0.007003482936978639,0.968167185622386,0.09844001697444482,False,False,False,True,False
68,8abf9f32,68,cremig,1.1101755488888883,-0.5209572866959536,67638677,70130811,72118648,72184161,282072297,186435965,0.2397919885056986,-0.000610273636317743,68.0,0.2519289247491822,0.02676001816236423,1.0166848779804933,0.04851769235810732,False,False,False,False,False
